"obligacion"|"identificacion"|"nombres"|"telefono"|"pais"|"indicativo"|"ciudad"
"1954"|"16070127 1124"|"Carolyn Guerrero"|"3580230312"|"Colombia"|"9"|"San Andrés"
"1265"|"16130730 1836"|"Margaret Clay"|"3332380451"|"Colombia"|"7"|"Floridablanca"
"1236"|"16411023 2339"|"Jin Navarro"|"3828054612"|"Colombia"|"4"|"Acacías"
"1073"|"16910409 4868"|"Zeus Holder"|"3086248719"|"Colombia"|"3"|"Pereira"
"1451"|"16030813 5888"|"Carson Dominguez"|"3728206977"|"Colombia"|"2"|"Buenaventura"
"1742"|"16080617 9552"|"Davis Reese"|"3024942053"|"Colombia"|"3"|"Bogotá"
"1648"|"16770202 6134"|"Xanthus Peterson"|"3757702088"|"Colombia"|"6"|"Agustín Codazzi"
"1390"|"16870730 0060"|"Ariana Justice"|"3198253538"|"Colombia"|"2"|"Duitama"
"1106"|"16270525 2712"|"Quail Higgins"|"3030589482"|"Colombia"|"9"|"Bogotá"
"1872"|"16450215 2269"|"Carly Logan"|"3200837385"|"Colombia"|"7"|"Mocoa"
"1772"|"16541224 1480"|"Rachel Waller"|"3221585374"|"Colombia"|"1"|"San Juan de Pasto"
"1158"|"16870801 3530"|"Audra Mcdaniel"|"3956425257"|"Colombia"|"5"|"Bogotá"
"1140"|"16530122 7442"|"Joshua Nieves"|"3465785671"|"Colombia"|"4"|"Cartagena"
"1389"|"16790120 6297"|"Gannon Hutchinson"|"3179375567"|"Colombia"|"5"|"Tame"
"1601"|"16730919 7874"|"Addison Calhoun"|"3937324307"|"Colombia"|"2"|"San Vicente del Caguán"
"1347"|"16710204 7094"|"Rogan Schmidt"|"3624657331"|"Colombia"|"6"|"San Marcos"
"1737"|"16610422 7027"|"Graham Levine"|"3614798482"|"Colombia"|"2"|"Envigado"
"1626"|"16100902 7697"|"Amber Combs"|"3698507890"|"Colombia"|"3"|"Buenaventura"
"1690"|"16081201 0031"|"Catherine Ortega"|"3325726421"|"Colombia"|"2"|"San Juan del Cesar"
"1170"|"16641001 9977"|"Kane Higgins"|"3782182187"|"Colombia"|"6"|"Quibdó"
